iter	Passed	Remaining
0	1	137
1	2	129
2	3	122
3	4	115
4	6	117
5	7	114
6	8	112
7	9	111
8	10	109
9	12	111
10	13	109
11	14	106
12	15	104
13	16	102
14	17	100
15	18	97
16	19	95
17	20	93
18	21	91
19	22	89
20	23	89
21	25	90
22	26	89
23	28	89
24	29	88
25	30	86
26	31	85
27	32	83
28	33	81
29	34	80
30	35	78
31	36	76
32	37	75
33	38	74
34	39	73
35	40	71
36	41	70
37	42	68
38	43	67
39	44	66
40	45	64
41	45	63
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	48
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	38
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
