iter	Passed	Remaining
0	222	222596
1	224	111927
2	226	75396
3	228	56896
4	229	45760
5	231	38319
6	233	33066
7	235	29230
8	237	26122
9	238	23624
10	241	21702
11	242	19997
12	244	18547
13	245	17307
14	247	16271
15	250	15421
16	262	15203
17	264	14434
18	269	13912
19	271	13286
20	272	12709
21	274	12181
22	277	11773
23	284	11553
24	285	11143
25	286	10747
26	287	10376
27	289	10035
28	290	9739
29	292	9449
30	293	9173
31	295	8952
32	297	8710
33	298	8479
34	299	8260
35	301	8062
36	302	7867
37	304	7706
38	306	7542
39	307	7375
40	311	7281
41	312	7136
42	314	6995
43	315	6859
44	319	6787
45	321	6669
46	323	6550
47	324	6435
48	327	6351
49	328	6245
50	335	6249
51	337	6154
52	339	6068
53	341	5979
54	342	5890
55	344	5801
56	348	5770
57	350	5686
58	351	5605
59	353	5536
60	354	5463
61	356	5391
62	357	5319
63	358	5249
64	361	5205
65	363	5146
66	365	5094
67	368	5044
68	369	4987
69	371	4930
70	372	4872
71	373	4816
72	375	4768
73	377	4723
74	378	4670
75	379	4617
76	381	4570
77	382	4520
78	383	4470
79	384	4421
80	385	4373
81	386	4329
82	387	4279
83	388	4239
84	391	4210
85	392	4170
86	393	4130
87	395	4103
88	397	4066
89	398	4031
90	399	3994
91	401	3959
92	403	3930
93	406	3916
94	407	3885
95	411	3876
96	413	3845
97	414	3812
98	415	3779
99	416	3748
100	417	3718
101	418	3686
102	421	3667
103	422	3637
104	423	3611
105	425	3588
106	426	3562
107	427	3533
108	428	3505
109	429	3478
110	431	3453
111	432	3428
112	433	3402
113	436	3391
114	437	3368
115	439	3346
116	440	3321
117	441	3296
118	442	3272
119	443	3249
120	444	3225
121	445	3204
122	446	3184
123	447	3164
124	451	3157
125	453	3143
126	454	3123
127	455	3103
128	456	3083
129	457	3062
130	458	3042
131	459	3023
132	460	3003
133	461	2984
134	462	2965
135	463	2946
136	465	2935
137	467	2918
138	468	2899
139	469	2881
140	470	2864
141	470	2845
142	471	2827
143	472	2810
144	473	2794
145	474	2777
146	475	2761
147	476	2745
148	478	2730
149	480	2724
150	482	2710
151	482	2694
152	484	2679
153	485	2664
154	486	2649
155	487	2635
156	488	2620
157	489	2606
158	490	2592
159	491	2578
160	491	2563
161	492	2549
162	494	2541
163	496	2529
164	497	2516
165	498	2504
166	500	2494
167	501	2483
168	502	2470
169	503	2458
170	504	2445
171	505	2433
172	506	2421
173	507	2410
174	509	2399
175	510	2389
176	511	2378
177	512	2366
178	513	2355
179	515	2346
180	516	2336
181	517	2325
182	518	2314
183	519	2303
184	520	2292
185	521	2283
186	523	2274
187	524	2265
188	525	2256
189	527	2247
190	528	2236
191	529	2226
192	530	2217
193	531	2207
194	532	2197
195	533	2187
196	534	2178
197	535	2169
198	539	2170
199	540	2161
200	541	2152
201	542	2143
202	543	2135
203	545	2126
204	546	2118
